x			cos(x)			абс.погр.			отн.погр.
1			0.540302			1.11022e-16			2.05482e-16
2			-0.416147			5.55112e-17			1.33393e-16
3			-0.989992			1.11022e-16			1.12145e-16
10			-0.839072			0			0
20			0.408082			6.10623e-16			1.49632e-15
50			0.964966			3.44169e-15			3.56665e-15
-1			0.540302			5.55112e-16			1.02741e-15
-2			-0.416147			5.55112e-17			1.33393e-16
-3			-0.989992			3.33067e-16			3.36434e-16
-10			-0.839072			3.33067e-16			3.96947e-16
-20			0.408082			5.55112e-16			1.36029e-15
-50			0.964966			3.33067e-16			3.45159e-16
